,content,target
0,"2nd review now after 1st mysteriously disappeared. My feedback remains the same, this is a joke of a shopping platform where you can't redeem the gift for new user due to ""network error"" but no such issue with buying other items. Coupons for new user ends up in the invalid section on the same day when you sign up. Seriously if you can't afford the marketing budget to attract new user that's fine. Just don't over promise and under deliver... and stop deleting negative feedback.",0
1,"I wouldn't use this app again, at least for a long time until they catch up on both the technological and human performances. The pages load extremely slowly or cannot load, they don't integrate with foreign credit cards, and there are errors everywhere ( from shipping options to stock availability). The welcome gift disappeared after they collected my credentials and they still expect me to rate it! Furthermore, they really should train their sellers to be more friendly.",0
2,"The app gets very slow and unresponsive after a few clicks even after I attempt resolve by spamming the back button on my Galaxy S10. Issue is only resolved after closing the app completely from the app manager. However, this is only a temporary solution as the unresponsiveness keeps occurring. Please fix ASAP. Even after several updates, the issue is still present",0
3,"Disappointed over and over again. I have been chasing their customer service to help me add my phone number and address to my account. Imagine, a simple task of adding a phone number and address has gotten me frustrated. Why? Because neither their app nor their website allows me to enter a phone no. starting with the number 8. And the issue is still open.",0
4,"I purchased 2 fans but i received one product with the wrong product model and requested for an exchange. The help center say I don't have evidence even though I shown them the picture of the box with a different model from what I purchased. Another fan is making loud noise, but it can't be recorded as the fan of the wind interup the video recording. The help centre is not helpful. I'm going to uninstall after the dispute is over. Which I doubt that they will do anything.",0
5,"1. coins have expiry. fine. 2. limit use per day?! fine. 3. limit per item!! WT... ok. I am thinking of just use off my coins and stay away. But the stupid app is so slow and laggy. ok don't waste my time. differences against other platforms are usually less than a $1, sometimes more expensive in fact.",0
6,"Wanted to claim my free $5 free gift after my first purchase but couldn't claim at all as it stated either network error please check your connection or unknown error please try again. It's certainly a hoax, where got such good thing in this world? There's nothing wrong with my connection at all! I still can watch my Netflix in Ultra HD! I've been trying for 2 days already and the problem still exists! I tried again today and the claim page became blank, no items can be claimed!",0
7,You cannot track your payment history to match to your credit card payments. Purchase history is no good. Very disappointing that such a simple function is not available. App is buggy as well as it hangs occasionally.,0
8,Why do you make it soooooo difficult to choose between credit cards to pay or delete? And whats with the app not working unless we update proactively? Ie theres no notification msg to update leaving me with wasted time wondering why stuff doesnt work. Fire your UI team. They are incompetent. What a crappy user experience.,0
9,"So ANNOYED! I select items to cart out then the system unselects them when i try to apply vouchers. When i finally do that, the card I added beforehand disappeared & i have to readd it. Now vouchers fully claimed & promo for my card fully redeemed! App keeps freezing, i can't select anything or page remains blank. Set reminder for next round of vouchers to claim but notification appears immediately instead of correct time. Getting worse, now everything in cart is auto selected & cannot unselect!",0
10,"Place another order on 17 May via bank transfer, 18 May received a SMS say that the payment not verified and order been cancelled.... Check the app, indicated the order is pending shipment..... WTH...... Updated: I goes to the xxxx contact us page (tired both app and web page) . Fill in and upload the photo. But cant seems to find the ""send"" / ""submit"" button. What browser should I use?",0
11,The app has gotten very lag and loads contents (including account contents) very slowly. Sometimes it won't even load after clearing app storage and cache in the phone settings. Now it won't even login after uninstalling and reinstalling!!,0
12,Recently been having alot of lagging and payment problems with this app... Sometimes the screen will go super zoomed in that u only see 25% of the actual screen and u cant do anything about it. And whenever i tried to pay for my orders it always said payment failed.... Alr tried 4 times the same order and still the same result.. Its not my bank problem definitely i already checked....pls fix this asap,0
13,"Lousy Services... They suddenly prompted me if I pay using shopee pay. There's an additional 1000 shopee coins to earn. So after topped up, the pin page jammed and I couldn't checkout, and it dragged another day to troubleshoot. End up the 1000 coins wasn't credited and I lost my 15‰ shopee cashback as it expired!! :< and of all, their email replied was ""Pertaining to your query, please be advised that the cashback is only applicable for successful orders."" Byee Shopee I'm gonna delete you soon.",0
14,"This time, though we have clicked on ""Update"", it keeps coming back to ""Update"" instead of ""Open"". This error is repeatedly happening so we can't update Shopee.",0
15,"Used to love this app. However, with the recent update, the app auto logged me out, and now I cant sign back in. Before that, your receivable items cant be seen and sellers appear to be deleted for some reason.",0
16,"Not able to use my HSBC Visa Platinum Credit Card to make purchases. My Bank has checked, there is no issue with my credit card. They even issue a new card to me, but still not able to use.",0
17,"After update the screen resolution (page too big for mobile viewing) having issue when click into shopee, will be kicked out from app and need to re-launch app again. Also shopee customer support response is slow and sometime no response. Shopee Farm harvested item order was cancelled without refund or replacement.",0
18,Terrible. App became really slow after being updated. Many times it got stalled when i clicked it and suddenly the screen turned into an all white blank page. Really disappointed.,0
19,Misleading terms and conditions and terrible onboarding experience. Policies are horrible and the cust svc team do not understand user's frustrations. Extremely disappointing for a first time user.,0
20,I have no idea what's wrong with your app first I can't see my cart (keep getting error to retry later) thinking it was a bug I reinstalled now can't even login to see the status of my package 😡,0
21,Sad to see that the app is not able to operate at its optimum due to the possible overwhelming volume of users. Disappointed at the lags.,0
22,No paylah or paynow functions. Still using very ancient way of making bank transfer and verifying via screenshot which takes 3 days to process on shopee end. Concern about security.,0
23,Search Function - does not work. Keyed in words to find items but nothing close to it came out. I really find it odd.,0
24,"Slow loading and unresponsive. Buggy. Waited for long time to update software n fix the issue, started to feel impatient now.",0
25,Worst call centre template customer service ever. Don't bother to solve issues and either ask us to contact the seller to troubleshoot or ask us to wait and see if the problem will resolve by itself.. what a joke.,0
26,Same issue with another reviewer here. All images are too big and unable to view or scroll on the page. Fix your app,0
27,App is so lousy! Always lagging for no reasons. And the developer doesn't know how to clear the counter of inbox to zero .,0
28,"I liked the app before things changed. In my opinion, this app benefits buyers more than sellers as postage is free. Also, what I hate and find inefficient is that when items are put in the wrong category, they'd suspend it and notify you, but won't let you know which it should be in, so you'll have to guess and hope it's the one or it'd be suspended again or contact them and stuff, so I find it absolutely stupid and I don't see a point👎🏻",0
29,"Always stuck, need to exit and start back, lots of bugs issue.",0
30,"Please avoid using this platform especially if you are doing big purchases. I felt like being scammed by them. They gave huge shopee coins promotion but the validity of the coins are only a mere 2 months. During which, all other purchases to use these earned coins are limited in quantity. They do not allow the usage of all the coins one shot. They are not really an essentials only store where you can spend regularly. So end up the coins will just be forfeited. I lost $60 worth of coins.",0
